"時間軸（年次） コード","時間軸（年次）","全国，都道府県，市区町村 コード","全国，都道府県，市区町村","/表章事項","2015年（平成27年）の人口（組替）【人】","世帯数【世帯】","2015年（平成27年）の世帯数（組替）【世帯】","5年間の人口増減数【人】","5年間の人口増減率【％】","5年間の世帯増減数【世帯】","5年間の世帯増減率【％】","人口性比","面積（参考）【km2】","人口密度【1km2当たり】"
"2020000000","2020年","40211","筑後市","","48,339","18,746","17,379","528","1.09229","1,367","7.86582","91.90622","41.78","1,169.6"
"2020000000","2020年","40212","大川市","","34,838","12,889","12,709","-1,828","-5.24714","180","1.41632","87.77019","33.62","981.9"
"2020000000","2020年","40213","行橋市","","70,586","30,491","28,648","915","1.29629","1,843","6.43326","91.31726","70.06","1,020.6"
"2020000000","2020年","40214","豊前市","","25,940","9,893","10,070","-1,529","-5.89437","-177","-1.75770","87.38773","111.01","219.9"
"2020000000","2020年","40215","中間市","","41,796","17,309","17,414","-1,423","-3.40463","-105","-0.60296","88.50913","15.96","2,529.6"
"2020000000","2020年","40216","小郡市","","57,983","22,775","20,964","1,425","2.45762","1,811","8.63862","87.98215","45.51","1,305.4"
"2020000000","2020年","40217","筑紫野市","","101,081","41,840","39,350","2,293","2.26848","2,490","6.32783","91.18904","87.73","1,178.3"
"2020000000","2020年","40218","春日市","","110,743","46,379","43,720","354","0.31966","2,659","6.08188","91.65560","14.15","7,851.4"
"2020000000","2020年","40219","大野城市","","99,525","42,702","39,885","2,647","2.65963","2,817","7.06281","91.73548","26.89","3,799.6"
"2020000000","2020年","40220","宗像市","","96,516","40,867","38,995","642","0.66517","1,872","4.80062","90.44613","119.94","810.1"
"2020000000","2020年","40221","太宰府市","","72,168","31,001","29,107","1,118","1.54916","1,894","6.50703","90.28899","29.60","2,475.9"
"2020000000","2020年","40223","古賀市","","57,959","23,708","22,320","872","1.50451","1,388","6.21864","90.24998","42.07","1,398.4"
"2020000000","2020年","40224","福津市","","58,781","26,468","22,272","8,360","14.22228","4,196","18.83980","87.55517","52.76","1,272.6"
"2020000000","2020年","40225","うきは市","","29,509","10,073","9,940","-1,497","-5.07303","133","1.33803","88.51874","117.46","238.5"
"2020000000","2020年","40226","宮若市","","28,112","10,373","10,737","-1,785","-6.34960","-364","-3.39015","89.04926","139.99","188.1"
"2020000000","2020年","40227","嘉麻市","","38,743","15,039","15,637","-3,228","-8.33183","-598","-3.82426","85.79649","135.11","262.9"
"2020000000","2020年","40228","朝倉市","","52,444","19,341","19,088","-2,102","-4.00808","253","1.32544","87.94848","246.71","204.1"
"2020000000","2020年","40229","みやま市","","38,139","13,063","12,941","-2,231","-5.84966","122","0.94274","86.75820","105.21","341.3"
"2020000000","2020年","40230","糸島市","","96,475","37,691","34,739","2,470","2.56025","2,952","8.49765","90.40700","215.70","458.7"
"2020000000","2020年","40231","那珂川市","","50,004","19,010","18,291","138","0.27598","719","3.93089","93.19565","74.95","669.0"
"2020000000","2020年","40341","宇美町","","37,927","14,080","13,119","-226","-0.59588","961","7.32525","101.23299","30.21","1,248.0"
"2020000000","2020年","40342","篠栗町","","31,210","12,207","11,539","18","0.05767","668","5.78906","92.56336","38.93","802.2"
"2020000000","2020年","40343","志免町","","45,256","18,993","17,591","1,134","2.50575","1,402","7.96998","92.66550","8.69","5,338.3"
"2020000000","2020年","40344","須恵町","","27,263","10,912","9,919","1,383","5.07281","993","10.01109","92.48757","16.31","1,756.3"
"2020000000","2020年","40345","新宮町","","30,344","12,406","10,946","2,601","8.57171","1,460","13.33821","93.25981","18.93","1,740.4"
"2020000000","2020年","40348","久山町","","8,225","3,282","2,825","854","10.38298","457","16.17699","89.22468","37.44","242.5"
"2020000000","2020年","40349","粕屋町","","45,360","19,828","18,005","2,856","6.29630","1,823","10.12497","97.87417","14.13","3,412.3"
"2020000000","2020年","40381","芦屋町","","14,208","5,596","5,573","-647","-4.55377","23","0.41270","95.85500","11.60","1,169.1"
"2020000000","2020年","40382","水巻町","","28,997","12,228","12,220","-859","-2.96238","8","0.06547","86.78970","11.01","2,555.7"
"2020000000","2020年","40383","岡垣町","","31,580","12,154","11,784","-553","-1.75111","370","3.13985","87.57633","48.64","637.9"
"2020000000","2020年","40384","遠賀町","","18,877","7,550","7,269","-141","-0.74694","281","3.86573","88.47198","22.15","845.9"
"2020000000","2020年","40401","小竹町","","7,810","3,184","3,331","-658","-8.42510","-147","-4.41309","90.92365","14.28","500.8"
"2020000000","2020年","40402","鞍手町","","16,007","6,259","6,393","-913","-5.70375","-134","-2.09604","88.25143","35.60","424.0"
"2020000000","2020年","40421","桂川町","","13,496","5,129","5,226","-601","-4.45317","-97","-1.85610","87.67283","20.14","640.3"
